Team1,Team2,Winner,Date
Team Spirit,Team Falcons,Team Spirit,2025-07-19 17:07:56
Team Spirit,Team Falcons,Team Spirit,2025-07-19 15:52:57
Team Spirit,Team Falcons,Team Spirit,2025-07-19 14:31:23
Team Falcons,Tundra Esports,Team Falcons,2025-07-18 15:51:58
Tundra Esports,Team Falcons,Team Falcons,2025-07-18 14:33:21
Team Liquid,Team Falcons,Team Falcons,2025-07-17 16:14:57
Team Liquid,Team Falcons,Team Falcons,2025-07-17 14:36:39
Team Falcons,Natus Vincere,Team Falcons,2025-07-13 18:12:01
Natus Vincere,Team Falcons,Team Falcons,2025-07-13 17:00:01
Virtus.pro,Team Falcons,Team Falcons,2025-07-12 17:59:01
Team Falcons,Virtus.pro,Team Falcons,2025-07-12 17:00:01
Gaimin Gladiators,Team Falcons,Gaimin Gladiators,2025-07-10 13:43:01
Gaimin Gladiators,Team Falcons,Team Falcons,2025-07-10 12:38:00
BB Team,Team Falcons,BB Team,2025-07-09 13:46:02
Team Falcons,BB Team,BB Team,2025-07-09 12:30:02
